SSID,MAC,RSSI,Time,Location
25288,DGU-IoT,ea:55:a8:6e:52:ac,-70,2025-04-24 16:50:27,hall_6141_1_10
25289,eduroam,fe:55:a8:6e:52:ac,-70,2025-04-24 16:50:27,hall_6141_1_10
25290,DGU8124,72:5d:cc:4d:72:0c,-71,2025-04-24 16:50:27,hall_6141_1_10
25291,DCSP2G,88:36:6c:42:53:04,-71,2025-04-24 16:50:27,hall_6141_1_10
25292,DGU-WIFI,ee:55:a8:6e:54:1e,-71,2025-04-24 16:50:27,hall_6141_1_10
25293,iptime,70:5d:cc:ae:04:48,-72,2025-04-24 16:50:27,hall_6141_1_10
25294,,da:55:a8:6e:63:02,-72,2025-04-24 16:50:27,hall_6141_1_10
25295,,16:11:32:ce:8f:0f,-72,2025-04-24 16:50:27,hall_6141_1_10
25296,DGU-GUEST,e2:55:a8:6e:54:1e,-72,2025-04-24 16:50:27,hall_6141_1_10
25297,DGU-IoT,ea:55:a8:6e:54:1e,-72,2025-04-24 16:50:27,hall_6141_1_10
25298,eduroam,fe:55:a8:6e:54:1e,-72,2025-04-24 16:50:27,hall_6141_1_10
25299,DGU-GUEST,2a:3f:1b:e2:65:9a,-74,2025-04-24 16:50:27,hall_6141_1_10
25300,DGU-WIFI,26:3f:1b:e2:65:9a,-74,2025-04-24 16:50:27,hall_6141_1_10
25301,DGU-IoT,22:3f:1b:e2:65:9a,-74,2025-04-24 16:50:27,hall_6141_1_10
25302,eduroam,36:3f:1b:e2:65:9a,-74,2025-04-24 16:50:27,hall_6141_1_10
25303,DGU-IoT,ea:55:a8:6e:63:8f,-74,2025-04-24 16:50:27,hall_6141_1_10
25304,eduroam,fe:55:a8:6e:63:8f,-74,2025-04-24 16:50:27,hall_6141_1_10
25305,DGU-GUEST,e2:55:a8:6e:63:8f,-74,2025-04-24 16:50:27,hall_6141_1_10
25306,DGU-WIFI,ee:55:a8:6e:63:8f,-74,2025-04-24 16:50:27,hall_6141_1_10
25307,7204,34:fc:b9:c8:fe:c0,-75,2025-04-24 16:50:27,hall_6141_1_10
25308,eduroam,fe:55:a8:6e:53:4a,-75,2025-04-24 16:50:27,hall_6141_1_10
25309,8136호,88:36:6c:42:28:50,-76,2025-04-24 16:50:27,hall_6141_1_10
25310,,da:55:a8:6e:63:8f,-76,2025-04-24 16:50:27,hall_6141_1_10
25311,DIRECT-FA C56x Series,86:25:19:c3:49:fa,-77,2025-04-24 16:50:27,hall_6141_1_10
25312,,da:55:a8:6e:53:4a,-77,2025-04-24 16:50:27,hall_6141_1_10
25313,DIRECT-3E C56x Series,86:25:19:a1:e3:3e,-77,2025-04-24 16:50:27,hall_6141_1_10
25314,bang,00:26:66:fe:8d:74,-78,2025-04-24 16:50:27,hall_6141_1_10
25315,CILab_5G,88:36:6c:ad:f1:80,-78,2025-04-24 16:50:27,hall_6141_1_10
25316,DGU-GUEST,2a:3f:1b:e2:65:b0,-79,2025-04-24 16:50:27,hall_6141_1_10
25317,DGU-WIFI,26:3f:1b:e2:65:b0,-79,2025-04-24 16:50:27,hall_6141_1_10
25318,DGU-IoT,22:3f:1b:e2:65:b0,-79,2025-04-24 16:50:27,hall_6141_1_10
25319,,12:3f:1b:e2:65:b0,-79,2025-04-24 16:50:27,hall_6141_1_10
25320,,2e:3f:1b:e2:65:b0,-79,2025-04-24 16:50:27,hall_6141_1_10
25321,DGU-GUEST,2a:3f:1b:e2:66:20,-80,2025-04-24 16:50:27,hall_6141_1_10
25322,DGU-WIFI,26:3f:1b:e2:66:20,-80,2025-04-24 16:50:27,hall_6141_1_10
25323,DGU-IoT,22:3f:1b:e2:66:20,-80,2025-04-24 16:50:27,hall_6141_1_10
25324,eduroam,36:3f:1b:e2:66:20,-80,2025-04-24 16:50:27,hall_6141_1_10
25325,eduroam,36:3f:1b:e2:65:b0,-80,2025-04-24 16:50:27,hall_6141_1_10
25326,,12:3f:1b:e2:66:20,-80,2025-04-24 16:50:27,hall_6141_1_10
25327,,2e:3f:1b:e2:66:20,-81,2025-04-24 16:50:27,hall_6141_1_10
25328,6130_5G-2,70:5d:cc:83:6b:0e,-82,2025-04-24 16:50:27,hall_6141_1_10
25329,6130_5G-1,70:5d:cc:83:6b:0c,-84,2025-04-24 16:50:27,hall_6141_1_10
25330,,da:55:b8:6e:54:1e,-84,2025-04-24 16:50:27,hall_6141_1_10
25331,5202,34:fc:b9:c8:e5:61,-84,2025-04-24 16:50:27,hall_6141_1_10
25332,iptime5130_5G,58:86:94:ae:06:df,-84,2025-04-24 16:50:27,hall_6141_1_10
25333,8206,34:fc:b9:c9:02:b0,-86,2025-04-24 16:50:27,hall_6141_1_10
25334,8207,34:fc:b9:c9:02:b1,-86,2025-04-24 16:50:27,hall_6141_1_10
25335,8136호,88:36:6c:42:28:52,-86,2025-04-24 16:50:27,hall_6141_1_10
25336,,da:55:b8:6e:54:2a,-87,2025-04-24 16:50:27,hall_6141_1_10
25337,,da:55:b8:6e:53:4a,-87,2025-04-24 16:50:27,hall_6141_1_10
25338,CSE-3183,7a:de:4b:62:c7:eb,-88,2025-04-24 16:50:27,hall_6141_1_10
25339,dgu8124_5G,70:5d:cc:1d:72:0c,-88,2025-04-24 16:50:27,hall_6141_1_10
25340,DGU-WIFI,26:3f:0b:e2:65:b6,-56,2025-04-24 16:50:33,hall_6141_1_10
25341,DGU-GUEST,2a:3f:0b:e2:65:b6,-56,2025-04-24 16:50:33,hall_6141_1_10
25342,DGU-IoT,22:3f:0b:e2:65:b6,-56,2025-04-24 16:50:33,hall_6141_1_10
25343,eduroam,36:3f:0b:e2:65:b6,-56,2025-04-24 16:50:33,hall_6141_1_10
25344,,2c:3f:0b:e2:65:b6,-56,2025-04-24 16:50:33,hall_6141_1_10
25345,ktw,58:86:94:7e:ea:78,-58,2025-04-24 16:50:33,hall_6141_1_10
