                                                                                                         
[Epoch 169] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 170] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 171] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 172] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 173] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 174] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 175] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 176] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 177] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 178] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 179] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 180] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 181] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 182] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 183] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 184] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 185] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 186] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 187] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 188] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 189] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 190] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 191] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 192] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 193] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 194] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 195] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 196] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 197] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 198] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 199] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 200] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 201] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 202] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 203] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 204] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 205] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 206] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 207] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 208] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 209] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 210] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 211] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 212] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 213] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 214] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 215] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 216] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 217] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 218] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 219] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 220] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 221] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 222] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 223] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 224] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 225] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 226] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 227] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 228] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 229] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 230] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 231] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 232] Train Acc: 0.77% | Val Acc: 0.34%
